minute_ts,instrument_key,strike,side,atp,ltp,spot_price,futures_price,rsi,roc
2026-04-15T15:29:00+05:30,NSE_FO|63417,,,139.02,84.6,24385.2,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63468,,,51.42,56.8,24385.2,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63416,,,370.35,424.95,24385.2,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63434,,,166.12,186.0,24385.2,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63436,,,143.74,168.45,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63464,,,74.96,86.05,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63431,,,254.98,208.8,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63427,,,211.43,148.0,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63425,,,193.39,125.0,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63437,,,309.23,228.2,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63423,,,172.62,113.15,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63413,,,111.01,77.6,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63429,,,230.41,156.5,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63430,,,190.67,227.0,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63426,,,242.44,268.1,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63447,,,105.4,123.15,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63428,,,216.12,240.55,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63444,,,123.85,143.65,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63465,,,440.49,343.05,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63472,,,34.59,36.05,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63476,,,22.77,24.4,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63421,,,154.92,92.45,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63458,,,89.84,100.25,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63470,,,42.37,49.15,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63469,,,513.72,417.95,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63422,,,303.89,342.85,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63457,,,371.03,287.7,24380.25,24342.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63424,,,271.81,301.15,24367.9,24343.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63445,,,338.85,254.4,24367.9,24343.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63467,,,476.06,408.05,24367.9,24343.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63467,,,476.06,408.05,24367.9,24343.0,63.8,0.63
2026-04-15T15:29:00+05:30,NSE_FO|63435,,,280.8,192.6,24381.5,24343.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63412,,,445.63,505.55,24381.5,24343.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63420,,,335.38,392.85,24384.75,24350.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63466,,,62.33,74.05,24384.75,24355.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63415,,,124.65,68.4,24384.75,24355.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63473,,,598.98,492.0,24384.75,24355.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63463,,,401.6,302.5,24384.75,24355.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63471,,,558.51,454.55,24384.75,24355.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63414,,,406.19,464.15,24384.75,24355.0,44.7,-0.41
2026-04-15T15:29:00+05:30,NSE_FO|63474,,,27.95,31.8,24377.25,24355.0,44.7,-0.41
